DateD_PO|ManufacturerID|Note|ProductType|Commessa|DateD|ID|Tag|SerialN
20-Feb-2020|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'IU19050', 'ID': '3343883000000227600'}||3343883000000334848||IU19050-01
15-Oct-2019|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'DG19010', 'ID': '3343883000000227170'}|15-Oct-2019|3343883000000328192||DG19010-01
25-Jan-2020|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'IU19060', 'ID': '3343883000000227605'}||3343883000000316928||IU19060-03
25-Jan-2020|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'IU19060', 'ID': '3343883000000227605'}||3343883000000316928||Iu19060-02
25-Jan-2020|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'IU19060', 'ID': '3343883000000227605'}||3343883000000316928||IU19060-01
28-Feb-2020|||{'display_value': 'Engineering Station / SCADA', 'ID': '3343883000000303018'}|{'display_value': 'GR19020', 'ID': '3343883000000227345'}||3343883000000303104||GR19020ES01
28-Feb-2020|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'GR19020', 'ID': '3343883000000227345'}||3343883000000303104||GR19020-01
28-Feb-2020|||{'display_value': 'Engineering Station / SCADA', 'ID': '3343883000000303018'}|{'display_value': 'GR19030', 'ID': '3343883000000227350'}||3343883000000303104||GR19030ES01
28-Feb-2020|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'GR19030', 'ID': '3343883000000227350'}||3343883000000289792||GR19030-01
27-Nov-2019|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'MI19010', 'ID': '3343883000000227695'}||3343883000000289792||MI19010-12
27-Nov-2019|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'MI19010', 'ID': '3343883000000227695'}||3343883000000289792||MI19010-11
|||{'display_value': 'Cabinet', 'ID': '3343883000000283017'}|{'display_value': 'DG19020', 'ID': '3343883000000227175'}||3343883000000283136||DG19020-01
||||{'display_value': 'Comm02', 'ID': '3343883000000192010'}||3343883000000194048||Seriale01 comm02
||||{'display_value': 'Comm01', 'ID': '3343883000000191005'}||3343883000000194048||Serial02 comm01
||||{'display_value': 'Comm01', 'ID': '3343883000000191005'}||3343883000000192000||Seiale01 comm01
